Digisol-DG-HR3400-300Mbps-Wireless-Broadband:
Amazon Customer,12 December 2015,Amazon,I lived in Kolkata as Paying guest. My upper floor uses TP LINK and ground floor has a d link router but compared with two router my router signal is strong. I hope smartlink will keep the same product quality.,Digisol-DG-HR3400-Wireless-Broadband-Router,No,No
Manish Sharma,6 January 2019,Amazon,The power supply was loose and as a result the router would either restart frequently or not start at all. Problem appeared a few months after purchase.,Digisol-DG-HR3400-Wireless-Broadband-Router,No,No
Amazon Customer,9 November 2016,Amazon,Amazing made in India product and value for money too. Network strength is good even if the doors are closed in a 2 BHK flat.Would definitely recommend all to go for it. No need of going for any made in China product.,Digisol-DG-HR3400-Wireless-Broadband-Router,No,No
Manish Sharma,11 October 2017,Amazon,This router is worst of its kind.It frequently disconnects from connected devices and you have to restart the router again and again to get connection.,Digisol-DG-HR3400-Wireless-Broadband-Router,No,No
Spandana,17 September 2018,Amazon,Good product like range is very good  but hanging regularly and adaptor dead frequently and on/off switch problems. If these problem fix  it is No.1 products.,Digisol-DG-HR3400-Wireless-Broadband-Router,No,No
Bhaskar Naskar,7 November 2017,Amazon,Very  good product. I got it at a comparatively low price on amazon.using it from 1 Year.pros: long range connection Upto 20 Metre  radius.high speed 7-8 Mbps.double antennae for good coverage.3 Years warranty.no problem till date.  Cons:  no problems.,Digisol-DG-HR3400-Wireless-Broadband-Router,No,No
Mohd Taj Ahmed,31 October 2016,Amazon,Did quite some research. Amazon does not hide reviews. Delivered as order and great price. Great experience. Digisol is made in India  that is why I chose it plus all positive reviews. Installation guide was so lengthy. Simple installation was load the driver. Create a network from my networks on the PC. And thats all. ... Thank you Amazon and the reviewers.,Digisol-DG-HR3400-Wireless-Broadband-Router,No,No
R.Kumar,4 May 2017,Amazon,Very nice WiFi router magnificent WiFi ranges and 10 devices u can connect. It will never discard network. Awesome product.,Digisol-DG-HR3400-Wireless-Broadband-Router,No,No
A good samaritan,3 January 2016,Amazon,Nice  simple lighting,Digisol-DG-HR3400-Wireless-Broadband-Router,No,No
Amazon Customer,1 October 2016,Amazon,Awesome product. Using from last 2 months  no glitches yet. Earlier I was using Linksys E900  but was not able to get the signal on first floor on my house. Now I am getting signal in all rooms of my first floor. I am really happy with this product.,Digisol-DG-HR3400-Wireless-Broadband-Router,No,No
Manish Sharma,9 January 2017,Amazon,Had problems with the first product received. Again facing similar problem with the replaced item. The problem is regarding loss of connectivity.,Digisol-DG-HR3400-Wireless-Broadband-Router,No,No
